ID,Time,Date,Place,Country,Continent,Latitude,Longitude,Depth,Mag,Type
iscgem861299,1965-01-24 00:11:17.260000+00:00,1965-01-24,"275 km WNW of Ambon, Indonesia",Indonesia,Asia,-2.608,125.952,20.0,8.2,earthquake
iscgemsup864419,1964-09-15 15:29:38.180000+00:00,1964-09-15,"Nicobar Islands, India region",India,Asia,8.855,93.101,70.0,7.1,earthquake
iscgem864342,1964-09-12 22:07:03.130000+00:00,1964-09-12,off the west coast of the South Island of New Zealand,New Zealand,Oceania,-48.969,164.285,20.0,7.02,earthquake
iscgem865885,1964-07-09 16:39:51.600000+00:00,1964-07-09,"54 km E of Luganville, Vanuatu",Vanuatu,Oceania,-15.534,167.666,130.0,7.16,earthquake
iscgem865780,1964-07-06 07:22:13.190000+00:00,1964-07-06,"10 km SW of Villa Nicolás Bravo, Mexico",Mexico,North America,18.136,-100.605,93.0,7.28,earthquake
iscgemsup867135,1964-06-23 01:26:38.310000+00:00,1964-06-23,"48 km ESE of Nemuro, Japan",Japan,Asia,43.222,146.159,71.0,7.12,earthquake
iscgem866844,1964-06-16 04:01:43.570000+00:00,1964-06-16,"24 km NW of Murakami, Japan",Japan,Asia,38.399,139.29,15.0,7.6,earthquake
iscgem868048,1964-05-26 10:59:16.950000+00:00,1964-05-26,South Sandwich Islands region,South Sandwich Islands,Antarctica,-56.323,-27.655,125.0,7.8,earthquake
official19640328033616_30,1964-03-28 03:36:16+00:00,1964-03-28,"1964 Prince William Sound Earthquake, Alaska",Alaska,North America,60.908,-147.339,25.0,9.2,earthquake
iscgem17294673,1963-12-18 00:30:05.470000+00:00,1963-12-18,south of the Fiji Islands,Fiji,Oceania,-24.749,-176.844,55.0,7.6,earthquake
iscgem17294667,1963-12-15 19:34:47.640000+00:00,1963-12-15,"164 km N of Pamanukan, Indonesia",Indonesia,Asia,-4.813,108.045,661.0,7.04,earthquake
iscgem17294529,1963-11-09 21:15:32.280000+00:00,1963-11-09,"132 km SW of Tarauacá, Brazil",Brazil,South America,-9.127,-71.483,590.0,7.63,earthquake
iscgem17294492,1963-11-04 01:17:13.900000+00:00,1963-11-04,Banda Sea,Banda Sea,Asia,-6.957,129.605,110.0,8.1,earthquake
iscgem873349,1963-10-20 00:53:12.210000+00:00,1963-10-20,"217 km ESE of Kuril’sk, Russia",Russia,Asia,44.726,150.547,28.0,7.8,earthquake
official19631013051759_30,1963-10-13 05:17:59+00:00,1963-10-13,"132 km ESE of Kuril’sk, Russia",Russia,Asia,44.872,149.483,35.0,8.5,earthquake
iscgem17294275,1963-09-17 19:20:14.140000+00:00,1963-09-17,"55 km WNW of Lata, Solomon Islands",Solomon Islands,Oceania,-10.466,165.36,45.0,7.21,earthquake
iscgem873068,1963-09-15 00:46:55.110000+00:00,1963-09-15,"28 km NW of Lata, Solomon Islands",Solomon Islands,Oceania,-10.522,165.642,35.0,7.4,earthquake
iscgem872971,1963-08-25 12:18:14.310000+00:00,1963-08-25,"217 km ENE of Levuka, Fiji",Fiji,Oceania,-17.628,-178.684,570.0,7.03,earthquake
iscgem17294122,1963-08-15 17:25:09.630000+00:00,1963-08-15,"50 km N of Sandia, Peru",Peru,South America,-13.866,-69.414,550.0,7.67,earthquake
iscgem872159,1963-04-16 01:55:13.430000+00:00,1963-04-16,"204 km SSE of Sofifi, Indonesia",Indonesia,Asia,-1.05,128.043,30.0,7.07,earthquake
iscgem872157,1963-04-16 01:29:23.500000+00:00,1963-04-16,"197 km SSE of Sofifi, Indonesia",Indonesia,Asia,-0.975,128.07,30.0,7.13,earthquake
iscgem17293490,1963-03-26 09:48:17.160000+00:00,1963-03-26,"Kermadec Islands, New Zealand",New Zealand,Oceania,-29.992,-177.675,10.0,7.3,earthquake
iscgem871982,1963-03-16 08:44:50.910000+00:00,1963-03-16,east of the Kuril Islands,Kuril Islands,Asia,46.636,154.783,15.0,7.65,earthquake
iscgem871885,1963-02-26 20:14:10.840000+00:00,1963-02-26,"49 km WSW of Wau, Papua New Guinea",Papua New Guinea,Oceania,-7.523,146.308,186.0,7.5,earthquake
iscgem871818,1963-02-13 08:50:04.250000+00:00,1963-02-13,"51 km SE of Yilan, Taiwan",Taiwan,Asia,24.411,122.094,30.0,7.2,earthquake
iscgem875774,1962-12-08 21:27:21.370000+00:00,1962-12-08,"21 km SSE of Taco Pozo, Argentina",Argentina,South America,-25.802,-63.21,588.0,7.15,earthquake
iscgem17292186,1962-07-26 08:14:46.990000+00:00,1962-07-26,"59 km SSE of Burica, Panama",Panama,North America,7.512,-82.729,25.0,7.18,earthquake
iscgem874777,1962-05-21 21:15:37.770000+00:00,1962-05-21,"262 km WNW of Haveluloto, Tonga",Tonga,Oceania,-20.088,-177.459,390.0,7.47,earthquake
iscgem874743,1962-05-15 05:23:49.090000+00:00,1962-05-15,"186 km NE of Lospalos, Timor Leste",Timor Leste,Asia,-7.351,128.218,30.0,7.1,earthquake
iscgem874610,1962-04-23 05:58:13.720000+00:00,1962-04-23,"62 km SE of Obihiro, Japan",Japan,Asia,42.506,143.734,60.0,7.1,earthquake
iscgem874529,1962-04-12 00:52:44.400000+00:00,1962-04-12,"137 km ESE of Ishinomaki, Japan",Japan,Asia,38.022,142.789,28.0,7.3,earthquake
iscgem17291428,1962-02-14 06:36:05.350000+00:00,1962-02-14,"15 km WSW of Angol, Chile",Chile,South America,-37.845,-72.885,30.0,7.1,earthquake
iscgem877339,1961-09-08 11:26:32+00:00,1961-09-08,South Sandwich Islands region,South Sandwich Islands,Antarctica,-56.332,-27.345,100.0,7.1,earthquake
iscgem17290909,1961-09-01 00:09:39.060000+00:00,1961-09-01,South Sandwich Islands region,South Sandwich Islands,Antarctica,-59.274,-26.801,129.0,7.3,earthquake
iscgem877295,1961-08-31 01:48:39.290000+00:00,1961-08-31,"149 km WNW of Iñapari, Peru",Peru,South America,-10.688,-70.925,597.0,7.2,earthquake
iscgem877215,1961-08-19 05:09:51.010000+00:00,1961-08-19,"132 km W of Iñapari, Peru",Peru,South America,-10.75,-70.775,612.0,7.6,earthquake
iscgem877175,1961-08-11 15:51:36.710000+00:00,1961-08-11,"48 km SW of Nemuro, Japan",Japan,Asia,43.056,145.101,43.0,7.02,earthquake
iscgem877044,1961-07-23 21:51:09.750000+00:00,1961-07-23,"63 km S of Port-Vila, Vanuatu",Vanuatu,Oceania,-18.307,168.29,25.0,7.33,earthquake
iscgem877000,1961-07-18 14:03:41.370000+00:00,1961-07-18,"126 km ESE of Koshima, Japan",Japan,Asia,29.692,131.683,30.0,7.03,earthquake
